,Unnamed: 0,subjectID,iTrial,video,action,condition,rating,rt,survey,nTrials,Index
59,479,1,29,pullTissue_do,pullTissue,do,7,4320,taking a tissue out of the tissue box,29,479
60,268,2,28,openSnack_far,openSnack,far,6,3405,asking for some of my snack,29,268
61,242,2,2,igniteLighter_do,igniteLighter,do,1,5125,lighting a lighter,29,242
62,243,2,3,openCan_do,openCan,do,1,4223,opening a can,29,243
63,244,2,4,foldNapkin_do,foldNapkin,do,1,3567,folding a napkin,29,244
64,245,2,5,drinkMug_absent,drinkMug,absent,3,13821,pulling something up from the desk,29,245
65,246,2,6,flickTrash_do,flickTrash,do,5,4749,flicking a small crumpled paper across the table,29,246
66,247,2,7,tapPhone_absent,tapPhone,absent,1,4341,mimicking the motion of typing on their phone,29,247
67,248,2,8,peelPostIt_do,peelPostIt,do,1,4212,ripping a post it note off its pack,29,248
68,249,2,9,zipPlasticBag_do,zipPlasticBag,do,1,4021,opening a plastic bag,29,249
69,250,2,10,drinkCup_far,drinkCup,far,6,6295,asking to have a drink from my cup,29,250
70,251,2,11,foldPaper_absent,foldPaper,absent,5,3985,giving me something,29,251
71,252,2,12,blowCandle_absent,blowCandle,absent,5,5994,whistling,29,252
72,253,2,13,snipScissors_far,snipScissors,far,6,5575,asking for my scissors,29,253
73,269,2,29,chargePhone_absent,chargePhone,absent,2,5084,playing a violin,29,269
74,254,2,14,dispenseSoap_far,dispenseSoap,far,6,5328,asking for my hand sanitizer,29,254
75,256,2,16,openGluestick_far,openGluestick,far,5,4602,asking to use my glue stick,29,256
76,257,2,17,pressRemote_do,pressRemote,do,2,4796,using a tv remote,29,257
77,258,2,18,twistCube_absent,twistCube,absent,2,6230,turning something over,29,258
78,259,2,19,pullTissue_far,pullTissue,far,5,3422,asking to use a tissue,29,259
79,260,2,20,brushTableBroom_absent,brushTableBroom,absent,6,4702,conducting musical instruments,29,260
80,261,2,21,tweezeTweezer_far,tweezeTweezer,far,5,2854,asking to use my tweezers,29,261
81,262,2,22,flipPage_do,flipPage,do,1,4164,flipping the pages of a book,29,262
82,263,2,23,sprayBottle_far,sprayBottle,far,5,5102,asking to use my spray,29,263
83,264,2,24,crushBottle_do,crushBottle,do,5,4317,smashing a plastic water bottle,29,264
84,265,2,25,drawLine_far,drawLine,far,2,7542,writing in a line,29,265
85,266,2,26,eraseMark_absent,eraseMark,absent,5,8697,showing the size of an object,29,266
86,267,2,27,closeJar_do,closeJar,do,1,5331,closing a jar,29,267
87,241,2,1,swipePhone_far,swipePhone,far,1,6806,mimicking the motion of swiping on their phone,29,241
88,255,2,15,insertAirpod_absent,insertAirpod,absent,3,4167,putting in an earpiece or headphone,29,255
89,240,2,0,openLid_absent,openLid,absent,3,12377,"mimicking the motion of stirring tea/coffee
",29,240
90,569,3,29,drawLine_far,drawLine,far,7,8635,They pretended to draw a line,29,569
91,541,3,1,brushTableBroom_far,brushTableBroom,far,3,9512,They were moving their hand,29,541
92,542,3,2,igniteLighter_do,igniteLighter,do,2,5831,They were lighting a lighter,29,542
93,543,3,3,snipScissors_far,snipScissors,far,3,14064,"They were making some hand gesture
",29,543
94,544,3,4,crushBottle_absent,crushBottle,absent,5,14321,they were clenching their fist,29,544
95,545,3,5,pressRemote_far,pressRemote,far,5,6230,They were pretending to press a button on a remote ,29,545
96,546,3,6,closeJar_far,closeJar,far,5,5291,they were pretending to twist the lid off a jar,29,546
97,547,3,7,foldNapkin_far,foldNapkin,far,5,5089,they were pretending to fold a piece of tissue,29,547
98,548,3,8,insertAirpod_do,insertAirpod,do,1,4637,They put an AirPod into their ear,29,548
99,549,3,9,eraseMark_do,eraseMark,do,1,4015,They were erasing a line off a paper,29,549
100,550,3,10,flickTrash_absent,flickTrash,absent,6,4163,They flicked their fingers,29,550
101,551,3,11,tweezeTweezer_far,tweezeTweezer,far,5,4950,They pretended to press on tweezers ,29,551
102,552,3,12,openGluestick_far,openGluestick,far,3,12232,They pretended to take a lid off the feltip,29,552
103,553,3,13,blowCandle_do,blowCandle,do,1,4438,They blew out a candle,29,553
104,554,3,14,drinkMug_absent,drinkMug,absent,3,9825,They lifted their hand,29,554
105,555,3,15,twistCube_absent,twistCube,absent,4,13975,They made some hand gesture,29,555
106,556,3,16,foldPaper_far,foldPaper,far,5,6150,They pretended to turn over a sheet of paper,29,556
107,557,3,17,openSnack_do,openSnack,do,1,3426,They opened a bag of crisps,29,557
108,558,3,18,dispenseSoap_far,dispenseSoap,far,5,3318,They pretend to press on the hand sanitizer top,29,558
109,559,3,19,openCan_do,openCan,do,1,7808,They opened a can ,29,559
110,560,3,20,tapPhone_absent,tapPhone,absent,6,6161,They were counting ,29,560
111,561,3,21,pullTissue_absent,pullTissue,absent,2,6519,They lifted their hand,29,561
112,562,3,22,chargePhone_do,chargePhone,do,1,2752,They plugged their phone in,29,562
113,563,3,23,peelPostIt_do,peelPostIt,do,1,3009,They ripped off the top post-it note,29,563
114,564,3,24,drinkCup_absent,drinkCup,absent,7,3950,They pretended to lift a glass,29,564
115,565,3,25,zipPlasticBag_absent,zipPlasticBag,absent,7,3279,They pretended to open/close a Ziplock bag,29,565
116,566,3,26,sprayBottle_absent,sprayBottle,absent,6,3708,They pretended to spray perfume,29,566
117,567,3,27,openLid_do,openLid,do,1,3528,They opened a bottle of water,29,567
118,540,3,0,swipePhone_absent,swipePhone,absent,5,4112,They were pointing or making some hand gesture.,29,540
